,Titre,Description,Détail des conditions,Résumé horaires,Adresse
4525,Concert de musiques traditionnelles de Corée d’Olsou,"Destinée à diffuser, transmettre et promouvoir l'art du ""Poungmul"", l'association de  percussions traditionnelles de Corée Olsou fêtera son 11ème anniversaire le 14 janvier  prochain",Sur réservation,"Samedi 14 janvier 2017, 20h30","45-47 rue de l'égalité, 92130 Issy-les-Moulineaux"
4526,"Cinéma : ""Demain tout commence""","Alors qu'il vit sans responsabilités au gré des rencontres, Samuel reçoit un jour la visite de son ex avec un bébé : Gloria.",Plein tarif: 7€50 / Tarif réduit : 5€50 / Tarif - 14 ans : 4€ / Tarif de groupe : 4€ / Location de lunettes 3D: 1€ / Carte annuelle: 18€ (donnant droit au tarif réduit),16 - 19 décembre 2016,"11-13, rue Danton 92130 Issy-les-Moulineaux"
4527,"Cinéma : ""Rogue One : A Star Wars Story""",Ce film est situé entre les épisodes III et IV de la saga Star Wars.,Plein tarif: 7€50 / Tarif réduit : 5€50 / Tarif - 14 ans : 4€ / Tarif de groupe : 4€ / Location de lunettes 3D: 1€ / Carte annuelle: 18€ (donnant droit au tarif réduit),28 décembre 2016 - 2 janvier 2017,"11-13, rue Danton 92130 Issy-les-Moulineaux"
4528,Découvrez le nouveau film avec Pierre Niney en avant-première au Ciné d'Issy !,Venez découvrir l'histoire de Jacques-Yves Cousteau au Ciné d'Issy/,Achat de son ticket à l'entrée,"Dimanche 9 octobre 2016, 16h30","11-13, rue Danton 92130 Issy-les-Moulineaux"
4529,"Conférence du cycle ""La couleur, de la science à la sensation""","Par Anne Varichon, chercheuse en anthropologie de la couleur.",Entrée libre,"Jeudi 17 novembre 2016, 19h30",52-54 boulevard Gallliéni
4530,Peindre poésie : l'art du haïga avec Manda,"Evocation par Manda, lauréate de prix prestigieux, de la quintessence d'un art",Entrée sur réservation auprès de l'Espace Andrée Chedid,"Vendredi 3 février 2017, 19h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4531,"Soirée jeu spéciale ""Les histoires médiévales""",La ludothèque  vous invite à un moment de partage et de convivialité autour du jeu de société moderne,Gratuit pour les adhérents (sur présentation de la carte d'adhésion) - 2€ l'entrée pour les non-adhérents,"Samedi 4 février 2017, 20h30","18 rue de l'abbé Derry, 92130 Issy-les-Moulineaux"
4532,Soirée Jurassienne Terroir de France,Apéritif suivi d'un repas de quartier,Aperitif offert suivi d'un repas de quartier Jurassien sur reservation,"Jeudi 23 février 2017, 19h00","1 esplanade du Belvédère, 92130 Issy-les-Moulineaux"
4533,"Cinéma : ""Ma vie de courgette""","Courgette n'a rien d'un légume, c'est un vaillant petit garçon.",,"Mercredi 1 mars 2017, 14h30","11-13, rue Danton 92130 Issy-les-Moulineaux"
4534,Match d’improvisation théâtrale,Par l'association Les Muvaises Graines,"Sur réservation, 4€, gratuit pour les moins de 12 ans","Samedi 18 mars 2017, 18h30","14 rue du Chevalier de la Barre, Issy-les-Moulineaux"
4535,Handball féminin COUPE DE FRANCE,1/2 finale de la Coupe de France,Billeterie,"Mercredi 26 avril 2017, 18h45","6 Boulevard des Frères Voisin, 92130 Issy-les-Moulineaux"
4536,Accueil Parents A3N,Venez découvrir l'association A3N,Entrée libre,"Jeudi 11 mai 2017, 14h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4537,Pharmacie de garde,Retrouvez les pharmacies de garde du mois de mai.,,"Dimanche 7 mai 2017, 09h00","30 avenue de la République, 92130 Issy-les-Moulineaux"
4538,"Atelier ""Danse parent-bébé"" de l'Espace Parent-Enfant","Animé par Soizic Barbancey, danse thérapeute",Inscription gratuite par mail,"Samedi 27 mai 2017, 10h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4539,Participez à un concours de nouvelles!,"Issy, en partenariat avec Le Magazine Littéraire et Folio vous invite à écrire une nouvelle sur le thème : « Donnez votre vision de la banlieue ».",entrée libre,23 décembre 2016 - 19 mai 2017,"62 rue du général Leclerc, 92130 Issy-les-Moulineaux"
4540,Un goûter pour tous les petits gourmands !,"En milieu d'après-midi, les enfants auront un petit goûter !",entrée libre,"Samedi 10 juin 2017, 16h30",Métro mairie d'Issy
4541,Visite guidée du Musée de la Carte à Jouer,"Chaque premier dimanche du mois, le musée ouvre ses portes !",Visite gratuite en entrée libre,"Dimanche 4 juin 2017, 16h00","16 rue Auguste Gervais, 92130 Issy-les-Moulineaux"
4542,Accueil-Parents de l'association A3N,Découvrez les activités de l’association et échangez entre parents.,Entrée libre,"Jeudi 15 juin 2017, 14h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4543,"Rencontre-débat A3N avec Alice Kibé-Crenn, psychologue.",«Nourrir son bébé :  enjeux et émotions »,Sur inscription,"Mardi 27 juin 2017, 10h00","10 rue Henri Mayer, 92130 Issy-les-Moulineaux"
4544,Animations et cinéma en plein air : Les nouvelles aventures d'Aladin.,"Animations pour tous suivi d'une séance de cinéma en plein air, d'un repas de quartier..",Entrée libre,"Samedi 1 juillet 2017, 18h00",Place chabane 92130 issy les moulineaux
4545,Rébétiko : La Grèce de L'ombre,Musique populaire Grecque,"Entrée libre, sur réservation, 01 41 23 82 82","Samedi 30 septembre 2017, 18h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4546,Le Grand Nord,Plaisir de Lire,"Entrée libre, sur réservation, tél 01 41 23 82 82","Samedi 23 septembre 2017, 15h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4547,Le Monstres,Sweet Home,"Entrée libre, sur réservation, tél 01 41 23 82 82","Samedi 7 octobre 2017, 15h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4548,T'Inquiète La Peur !,"Association A Mots Courants, des ateliers intergénérationnels","Entrée libre, sur réservation, tél 01 41 23 82 82","Samedi 7 octobre 2017, 17h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4549,AAD,Association Avenir Dysphasie,"sur rendez-vous, tél : 01 41 23 82 82","11 septembre - 11 décembre 2017, les lundis","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4550,Issy fête son Coeur de Ville,"Le mercredi 27 septembre à partir de 18h, les Isséens sont conviés à venir découvrir l'histoire de l'ancien site du CNET à travers le vernissage de l'exposition photo ""Cœur de Ville, d'hier à demain"".",Entrée libre,"Mercredi 27 septembre 2017, 18h00","11-15 rue Victor Hugo, 92130 Issy-les-Moulineaux"
4551,Octobre Rose,Mobilisation contre le cancer du sein.,,"Mercredi 18 octobre 2017, 15h00","Avenue de la République, 92130 Issy-les-moulineaux"
4552,Le bal des Pompiers,Un one-man show décalé sur l'autisme,Gratuit - sur inscription,"Jeudi 23 novembre 2017, 20h00","31 boulevard Gambetta, 92130 Issy-les-Moulineaux"
4553,"Cinéma : ""Opération casse-noisette""",Les aventures de nos rongeurs préférés !,,"Mercredi 22 novembre 2017, 14h30","11-13, rue Danton 92130 Issy-les-Moulineaux"
4554,L'escorting : enjeux et prévention par l'association Agir contre la Prostitution des Enfants (APCE),"Soirée destinée aux jeunes pour comprendre, réagir et prévenir avec les témoignages de l'APCE",Entrée libre,"Mercredi 29 novembre 2017, 17h00","15 rue Diderot, 92130 Issy-les-Moulineaux"
4555,"Bien dans sa tête, bien dans son corps","A l’occasion de la Journée Internationale contre les violences faites aux femmes, une journée entière dédiée à votre bien-être que vous soyez une femme ou un homme !",sur inscription,"Vendredi 24 novembre 2017, 10h00","6 Boulevard des Frères Voisin, 92130 Issy-les-Moulineaux"
4556,Cinéma : L'étoile de Noël,Un dessin animé qui vous entraîne dans la folle histoire de Noël !,,"Mercredi 6 décembre 2017, 14h30","11-13, rue Danton 92130 Issy-les-Moulineaux"
4557,Loto-Gouter,"Loto-Gouter organisée par la Croix Bleue des Arméniens de France d'Issy-les-Moulineaux, au profit de ses actions éducatives, culturelles et humanitaires",Entrée libre,"Dimanche 4 février 2018, 14h30","6 avenue Bourgain, 92130 Issy-les-Moulineaux"
4558,Ateliers A3N « Signer avec bébé »,"Atelier animé par Laure Giry,  Consultante en communication adaptée et gestuelle avec bébé",Sur inscription,"Samedi 27 janvier 2018, 14h30","18 rue Aristide Briand, 92130 Issy-les-Moulineaux"
4559,Exposition : To our presence,Venez découvrir les oeuvres de la collection du FRAC dans une exposition conçue par les élèves et les étudiants des Arcades.,Entrée libre,9 - 26 janvier 2018,52-54 boulevard Gallliéni
4560,Conférence,La raison de l'imaginaire chez Gaston Bachelard,"Entrée libre, tél 01 41 23 82 82","Vendredi 19 janvier 2018, 19h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4561,L'exercice juste de la paternité (Au vendredi des pères),Soirée d'échanges proposée par l'Espace Parent-Enfant avec Gérard Lurol,Entrée libre sur demande de réservation par mail et après réception d'une confirmation de l'Espace Parent-Enfant,"Vendredi 4 mai 2018, 20h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4562,Cinéma : le Voyage de Ricky,Les aventures d'un petit moineau persuadé d'être une cigogne...,,14 et 19 février 2018,"11-13, rue Danton 92130 Issy-les-Moulineaux"
4563,"Atelier A3N: ""Chant prénatal""","Animé par Judith Bloch-Christophe, animatrice en chant périnatal.",Sur inscription,"Vendredi 16 mars 2018, 19h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4564,Compagnie des Muses : « Les mots qui restent » de Charlotte Rey,11éme Rencontre de Théâtre Amateur,Renseignement et réservations à l’accueil de l’espace Icare,"Samedi 17 mars 2018, 20h00","31 boulevard Gambetta, 92130 Issy-les-Moulineaux"
4565,Pharmacie de garde,Retrouvez les pharmacies de garde du mois d'avril.,,"Dimanche 1 avril 2018, 09h00","27 rue Lasserre, 92130 Issy-les-Moulineaux"
4566,"Entretien d'Issy avec P. Birnbaum : ""Blum, entre République, Socialisme & Judaïsme""",Découvrez la richesse de la vie de Léon Blum.,Entrée libre sur réservation dans la limite des places disponibles. Les réservations ne sont plus garanties après 19h45,"Jeudi 8 mars 2018, 20h00","62 rue du général Leclerc, 92130 Issy-les-Moulineaux"
4567,Football Masculin A.S. Ararat,Retrouvez tous les matchs à domicile de l'AS Ararat qui évolue en Regional 2 pour la saison 2017-2018,Entrée Libre,"Dimanche 4 février 2018, 14h00",2 Rue du Bateau Lavoir
4568,"Escape Game ""Frexit"" : réussissez là où les anglais ont échoué !","L'avenir de l'Europe est entre vos mains, saurez-vous décoder les énigmes ?",sur incription,16 et 18 mai 2018,15 rue Diderot 92130
4569,Café Polyglotte,Venez pratiquer les langues étrangères !,entrée libre,"Jeudi 17 mai 2018, 19h00","31 boulevard Gambetta, 92130 Issy-les-Moulineaux"
4570,Retrouvez La Fête Mondiale du Jeu dans le square de l'Abbé Derry !,"Ce rendez-vous ludique pour tous sonne le retour des beaux jours. Amateurs ou initiés, entre amis ou en famille venez découvrir le plaisir du jeu !",Gratuit,"Samedi 26 mai 2018, 14h00",92130 Issy les Moulineaux
4571,L'immeuble Galeo et le quartier Seine-Ouest,"Visite guidée de l'immeuble Galeo suivie d'un circuit dans le quartier Seine-Ouest (école des Barreaux, tour Sequana...).",,"Samedi 17 septembre 2016, 11h00","3, boulevard Gallieni, Issy-les-Moulineaux, 92130, Ile-de-France, Hauts-de-Seine"
4572,L'univers de l'hélicoptère,"Conférence par Thierry Couderc, délégué général de l’union française de l’hélicoptère.",,"Dimanche 18 septembre 2016, 11h00, 14h30","61, rue Henry Farman, Issy-les-Moulineaux, 92130, Ile-de-France, Paris"
4573,Visite d'une Entreprise Industrielle,Visite de la Société Sys ENR par une classe de Première STI2D EE du Lycée Edmond Michelet d'Arpajon.,,"Mardi 10 avril 2018, 09h30",12 Rue Diderot
4574,La Vie trépidante de Brigitte Tornade,Eléonore Joncquez (nouvellement Compagnie Pollock Nageoire),,"Dimanche 26 septembre 2021, 18h00","25 Av. Victor Cresson, 92130 Issy-les-Moulineaux"
4575,Comment approfondir la pleine conscience?,Réunion d'info sur le programme d'approfondissement de la pleine conscience,15€ ou participation libre,"Samedi 7 décembre 2019, 09h30","1 rue jules ferry, issy les moulineaux"
4576,Scène ouverte du Réacteur,"Rencontre, jam, improvisation, reprise ou composition personnelle, tout peut être prétexte à investir la scène !",Entrée Libre,"Vendredi 17 septembre 2021, 19h00","45-47 rue de l'égalité, 92130 Issy-les-Moulineaux"
4577,TREMPLIN LYCÉENS EN CAVALE,Tremplin régional de groupes lycéens,,"Samedi 12 novembre, 19h00",45-47 rue de l’Egalité 92130 Issy-les-Moulineaux
4578,Comptines en partage,Spectacle 0-3 ans,Entrée libre,"Samedi 4 février, 11h00","2 rue du Clos-Munier, 92130 Issy-les-Moulineaux"
4579,Les P'tites Histoires,Lectures pour le jeune public,Sur inscription : à l'accueil ou par téléphone au 01 41 23 81 62,"Mercredi 1 mars, 10h30","2 rue du Clos-Munier, 92130 Issy-les-Moulineaux"
4580,Les P'tites Histoires,"Histoires à savourer pour les petites oreilles !
Dès 3 ans.",Entrée libre dans la limite des places disponibles. Renseignements à l'accueil jeunesse ou par téléphone au 01 41 23 80 65.,"Mercredi 15 février, 11h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
4581,Loto intergénérationnel,Après-midi loto avec de nombreux lots à gagner et goûter offert aux participants.,Entrée libre,"Samedi 4 février, 15h00","10-12 Square Louis Blériot, 92130 Issy-les-Moulineaux"
4582,La Petite Cantine sous les Bananiers de Michel et Augustin,"Un dimanche par mois, Les Petites Cantines posent leurs marmites à la Bananeraie de Michel et Augustin et organisent un atelier de cuisine participative.",Inscription en ligne ou par téléphone,"Dimanche 12 février, 09h30",70 rue du Gouverneur Général Eboué 92130 ISSY LES MOULINEAUX
4583,Les P'tites Histoires,Lectures pour le jeune public,Sur inscription : à l'accueil ou par téléphone au 01 41 23 81 62,"Mercredi 29 mars, 10h30","2 rue du Clos-Munier, 92130 Issy-les-Moulineaux"
4584,Marmottines,Les P'tits rendez-vous,Entrée libre dans la limite des places disponibles.,"Samedi 11 mars, 11h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
4585,Les P'tites Histoires,"Histoires à savourer pour les petites oreilles !
Dès 3 ans.",Entrée libre dans la limite des places disponibles. Renseignements à l'accueil jeunesse ou par téléphone au 01 41 23 80 65.,"Samedi 25 février, 11h00","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
4586,NEUE GRAFIK ENSEMBLE ● BADA-BADA ● ELDÉGÉE // Le Réacteur,"Le Réacteur présente NEUE GRAFIK ENSEMBLE, BADA-BADA et ELDÉGÉE, vendredi 20 janvier 2023 à l'Espace Icare !",12€ en prévente / 15€ sur place,"Vendredi 20 janvier, 19h00","31 Boulevard Gambetta, 92130 Issy-les-Moulineaux"
4587,Debrief du CES 2023 : les principales tendances de l'innovation,Venez assister à un décryptage exclusif alliant analyses pragmatiques et mises en perspectives des dernières annonces du CES de Las Vegas.,Sur inscription,"Mercredi 1 février, 09h00",62 rue du général Leclerc Issy-les-Moulineaux
4588,Machin bidule et petit baz'art,Un atelier créatif en famille pour découvrir l'univers de l'illustrateur Christian Voltz!,"Sur réservation, entrée libre, enfant accompagné",25 et 26 mars,"90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
4589,Les P'tites Histoires,P'tits Rendez-Vous,Entrée libre dans la limite des places disponibles. Renseignements à l'accueil jeunesse ou par téléphone au 01 41 23 80 65.,"Mercredi 29 novembre, 16h30","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
4590,"Atelier ""Courir comment?""","Avec Anaïs Vaugelade, illustratrice, autrice et éditrice de littérature de jeunesse","Gratuit, sur réservation","Samedi 7 octobre, 15h00","90-98, promenade du Verger, Issy-les-Moulineaux, 92130, Ile-de-France"
4591,Couds ton pochon de Pâques - niveau confirmé,Viens coudre ton propre sac/pochon pour ramasser tes chocolats de Pâques !,Entrée sur inscription,"Vendredi 7 avril, 18h00",54 rue d'Erevan 92130 Issy-les-Moulineaux
4592,Fabrication d’éponge Tawashi,Venez fabriquer votre éponge Tawashi à partir de chaussettes trouées ou orphelines en 10 minutes !,Entrée gratuite,"Jeudi 23 février, 14h00",54 rue d'Erevan 92130 Issy-les-Moulineaux
4593,Association des plantes et histoires d’amour - ISSY-LES-MOULINEAUX,"Découvrez les couples du jardin et le principe 
d’entraide entre légumes, aromatiques et fleurs. 
L’histoire intemporelle d’Haricot et Sarriette vous 
laissera pantois.",Atelier en accès libre,"Samedi 13 mai, 14h00, 16h00",Issy-Les-Moulineaux
4594,Concert : Arménie lyrique,"Gratuit, sur inscription",,"Samedi 3 juin, 18h00","60 rue du Général Leclerc, Issy-les-Moulineaux"
4595,Tech Invest Europe,"Après Berlin, Milan, Barcelone et Londres, Tech Invest Europe arrive à Paris le 6 novembre prochain.","Voir tarifs, sur inscription","Mercredi 6 novembre 2019, 08h30","39 Quai du Président Roosevelt, 92130 Issy-les-Moulineaux"
4596,Commémoration de la Victoire du 8 mai 1945,"Lundi 8 mai, nous commémorerons le 78e Anniversaire de la Victoire de 1945.",Entrée libre,"Lundi 8 mai, 09h00","Mairie d'Issy, 92130 Issy-les-Moulineaux"
4597,#VivaIssy : Atelier Multimédia : Lego We Do,"Atelier organisé dans le cadre du Festival des audaces numériques, #VivaIssy","Entrée gratuite pour les adhérents, 4,20€ pour les non-adhérents","Mercredi 7 juin, 15h30","15 allée Sainte-Lucie, 92130 Issy-les-Moulineaux"
4598,Forum de rentrée des associations 2023,"Moment propice pour rencontrer les acteurs associatifs locaux et démarrer une nouvelle activité, la 46ème édition du Forum de rentrée se tiendra les vendredi 8 et samedi 9 septembre prochains.",Entrée libre,8 et 9 septembre,6 boulevard des Frères Voisin 92130 Issy-les-Moulineaux
4599,Spectacle : Auf geht's nach,"Théâtre en français et allemand, en famille, dès 6 ans",Sur inscription,"Dimanche 3 mars 2024, 16h00","28, esplanade de la manufacture 92120 Issy-les-Moulineaux"
4600,Entrez dans le monde des abeilles - ISSY-LES-MOULINEAUX,"Un atelier pour découvrir la vie des abeilles domestiques, les différents «métiers » réalisés tout au long de leur développement et la relation avec 
les humains.",Atelier gratuit en accès libre.,"Mercredi 21 juin, 14h00",54 rue d'Erevan
4601,Le marché du Lot revient sur la Place de la Mairie !,"Pour découvrir les différents saveurs de nos régions, rendez-vous les 3 et 4 juin 2023 de 9h à 19h sur la Place de la Mairie.",Entrée libre,3 et 4 juin,place de la Mairie 92130 Issy-les-Moulineaux
4602,Scène ouverte du Réacteur,"Rencontre, jam, improvisation, reprise ou composition personnelle, tout peut être prétexte à investir la scène !",Entrée Libre,"Samedi 10 juin, 19h00",45-47 rue de l’Egalité 92130 Issy-les-Moulineaux
4603,Baby-sitting dating spécial été,Parents et baby-sitters se retrouvent pour faire connaissance et échanger sur leurs besoins et disponibilités lors d’un moment convivial.,Entrée libre,"Samedi 15 juin 2024, 15h00",15 rue Diderot 92130 Issy-les-Moulineaux
4604,WECSI : 3 jours de formation ECS !,Weekend de formation à l'Education à la Citoyenneté et à la Solidarité,,3 - 5 février 2017,"19 rue Victor Hugo, 92130 - Issy-les-Moulineaux"
4605,Journée de visites dans le centre des déchets,"Les visiteurs pouront visiter cet équipement d'écologie urbaine et être sensibilisé à la gestion publique des déchets ménagers, à leurs nécessaires réductions et au renforcement du tri/recyclage.",,"Samedi 17 septembre 2016, 10h00","4 -103, quai du Président-Roosevelt 92130 Issy-les-Moulineaux, Hauts-de-Seine, Île-de-France"
4606,Visite libre de l'église,À la découverte des vitraux de Léon Zack.,,16 et 17 septembre 2016,"Place Robert-Schuman, Issy-les-Moulineaux, 92130, Ile-de-France, Hauts-de-Seine"
4607,Visite commentée du Séminaire Saint-Sulpice,Un des sites les plus prestigieux et anciens de la ville,,"Samedi 17 septembre 2016, 11h00, 14h00, 15h30","33, rue du Général-Leclerc, Issy-les-Moulineaux, 92130, Ile-de-France, Hauts-de-Seine"
4608,Visite commentée du Chemin des Vignes,Présentation des vignes et des carrières transformées en caves.,,17 et 18 septembre 2016,"113, bis avenue de Verdun, Issy-les-Moulineaux, 92130, Ile-de-France, Hauts-de-Seine"
4609,Café musical : Baudelaire en musiqueS,Pour découvrir et échanger à travers un thème musical.,Entrée libre dans la limite des places disponibles.,"Samedi 27 novembre 2021, 15h30","33, rue du gouverneur général Eboué, Issy-les-Moulineaux"
4610,Annulé - Spectacle pour enfants : L'Épopée de Momotaro,Spectacle pour enfants à découvrir en famille dès 3 ans,,"Samedi 6 mars 2021, 16h00",55 rue Pierre Poli 92130 Issy-les-Moulineaux
4611,Corinne Zarzavatdjian dans Un nom à coucher dehors !,Comment faire pour vivre et survivre avec un nom de famille imprononçable ?,12€ / 14€,15 et 16 décembre 2021,"31 boulevard Gambetta, 92130 Issy-les-Moulineaux"
4612,PEDRO ROSSO / Les Rendez-vous du Réacteur,#EnsembleALaMaison,,"Mercredi 8 avril 2020, 19h00",31 bis rue aristide Briand 92130 issy-Les-Moulineaux
4613,Serge Forté / / Les Rendez-vous vidéo à la Maison du Réacteur,"#EnsembleALaMaison Une petit rafraîchissement pianistique offert par Serge Forté, In Confine",,"Mardi 7 avril 2020, 19h00",31 bis rue aristide Briand 92130 issy-Les-Moulineaux
4614,Conseil Municipal,Séance publique en salle multimédia.,Entrée libre,"Jeudi 2 février 2017, 18h30","62 rue du général Leclerc, 92130 Issy-les-Moulineaux"
4615,Théâtre de marionnettes,"Affublé de son ami Paul et de son caractère malicieux, Polichinelle est prêt à rencontrer des animaux farceurs et des personnages extravagants.","Théâtre de plein air, public abrité pour les petites pluies. Tarif : 2,80 €, 18 € les 8 places.",12 octobre - 6 novembre 2016,"Parc Henri Barbusse, 92130 Issy-les-Moulineaux"
4616,Soirée Wine and Flamenco,"Profitez d’une soirée exceptionnelle, à deux pas de chez vous ! Rejoignez le Barock’s Café, où se produira le groupe Arte Vivo et leur session flamenco qui ravira vos yeux ainsi que vos oreilles !",Sur inscription à la Maison du Tourisme et des Loisirs ou en ligne. Renseignements au 01 41 23 87 00.,"Samedi 15 octobre 2016, 20h00","25 rue Diderot, 92130 Issy-les-Moulineaux"
4617,La Magie c'est quoi?,Une découverte scientifique de la magie,Entrée libre,"Samedi 11 juin 2016, 14h00","62 rue du général Leclerc, 92130 Issy-les-Moulineaux"
4618,Soirée jeu spéciale en présence de l'auteur Frédéric Henry,La Ludothèque vous propose de venir à la rencontre de l'auteur de jeu Frédéric Henry.,Entrée payante tout public: 2 euros et gratuite sur présentation de la carte d'adhésion,"Samedi 3 septembre 2016, 20h30","18 rue de l'abbé Derry, 92130 Issy-les-Moulineaux"
4619,"Ciném'Anim: ""Les amis animaux""",Des histoires qui mettent en scène de manière poétique et rassurante des histoires d'amour et d'amitié quotidiennes.,Inscription par email,"Samedi 29 octobre 2016, 17h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4620,"Atelier SciFhaiku : et soudain, deux lunes...","Un atelier d'écriture, ouvert à tous à partir de 18 ans et en partenariat avec l'Espace Seniors.",Inscription par mail,"Samedi 15 octobre 2016, 15h00","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4621,"Conférence-débat: ""Le refus scolaire""","On définit le refus scolaire comme étant une difficulté majeure à aller à l'école, observée chez les enfants et les adolescents.",Entrée libre sur réservation,"Mercredi 18 janvier 2017, 19h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
4622,Marché des Epinettes,"Tous les jeudis et samedis de 7h30 à 13h, les Marché des Epinettes s’installe : on y trouve des légumes et fruits frais de saison, un poissonnier, un fromager, un fleuriste et une rôtisserie…",Entrée libre,5 - 28 janvier 2017,Parvis du Plateau Rodin Egalité 92130 Issy les Moulineaux
4623,Dédicace de Fabienne Léonian-Liadzé,Dédicace à la librairie Chantelivre,Entrée libre,"Vendredi 2 décembre 2016, 18h00",32 avenue de la république 92130 Issy-les-Moulineaux
4624,Le Petit Chaperon Rouge - Le Musical,Vous connaissez le Petit Chaperon rouge sage comme une image ? Le voici déluré dans une adaptation musicale des plus délurées !,Sur réservation,"Mercredi 7 décembre 2016, 20h00","25 avenue Victor Cresson, 92130 Issy-les-Moulineaux"
4625,"Spectacle: ""Même pas vrai?""",Conte par Pierre Delye,Entrée libre En famille à partir de  6 ans,"Vendredi 13 janvier 2017, 19h00",14 rue du Chevalier de la Barre 92130 Issy-les-Moulineaux
4626,César doit mourir ★ ciné-club,"Version Origin’Halle ★ Ciné-Club, Cycle 100% Cinéma.",Entrée libre,"Dimanche 19 mars 2017, 18h00","45-47 rue de l'égalité, 92130 Issy-les-Moulineaux"
4627,"Cinéma : ""L'Empereur""",Le nouveau documentaire de Luc Jacquet !,,1 - 3 avril 2017,"11-13, rue Danton 92130 Issy-les-Moulineaux"
4628,Centre Municipal de Santé : test rapide de dépistage du VIH,"Le TROD (Test Rapide de dépistage d'Orientation Diagnostique) est effectué par un médecin formé à la méthode, dans un cadre anonyme, confidentiel et gratuit.",Uniquement sur rendez-vous,"Mercredi 29 novembre 2017, 17h00","27 bis avenue Victor Cresson, 92130 Issy-les-Moulineaux"
4629,"Cinéma : ""Aurore""",Et si c'était le début d'un renouveau ?,,10 - 15 mai 2017,"11-13, rue Danton 92130 Issy-les-Moulineaux"
4630,Conférence-débat par Eric Emmanuel Schmitt,"Auteur de nombreux best-sellers, il vient à Issy le samedi 10 juin.","Entrée libre, dans la limite des places disponibles","Samedi 10 juin 2017, 15h00","62 rue du général Leclerc, 92130 Issy-les-Moulineaux"
4631,projection-débat du film Cowspiracy,Projection du film Cowspiracy réalisé par Kip Andersen et Keegan Kuhn,Entrée libre,"Jeudi 8 juin 2017, 19h00",15 rue Diderot 92130
4632,Les Gam'z fêtent leurs 10 ans !,L’ensemble vocal Les choeurs des Gam’Z fêtent leurs 10 bougies,Entre libre sur réservation,26 - 28 juin 2017,"31 boulevard Gambetta, 92130 Issy-les-Moulineaux"
4633,Martine Sonnefraud-Dobral en dédicace à Issy,L'auteure pour ados Martine Sonnefraud-Dobral en signature,,"Samedi 17 juin 2017, 11h00",esplanade du Belvédère
4634,Cinéma : L'Amant double,Le nouveau film de François Ozon.,"Plein tarif: 7€50 / Tarif réduit : 5€50 (+ 65 ans, familles nombreuses, sans-emplois, abonnés au Palais des Congrès) / Tarif - 14 ans : 4€ / Tarif de groupe : 4€ / Location de lunettes 3D: 1€ / Carte annuelle: 18€ (donnant droit au tarif réduit)",14 - 19 juin 2017,"11-13, rue Danton 92130 Issy-les-Moulineaux"
4635,Campagne de dons pour la Croix-Rouge Française du 10 au 18 juin !,"La délégation d’Issy-les-Moulineaux, vous remercie pour votre générosité !",,10 - 18 juin 2017,issy-les-moulineaux
4636,Musique au K,Les restaurants aussi participent !,,"Mercredi 21 juin 2017, 18h00","52 rue J-P Timbaud, 92130 Issy-les-Moulineaux"
4637,Pharmacie de garde,Retrouvez les pharmacies de garde du mois d'août.,,"Dimanche 27 août 2017, 09h00","27 rue Lasserre, 92130 Issy-les-Moulineaux"
4638,Silence on tourne !,Une pièce qui vous réserve du rire et des coups de théâtre !,Sur réservation,"Mardi 3 avril 2018, 20h30","25 avenue Victor Cresson, 92130 Issy-les-Moulineaux"
4639,Don du sang,"Le camion du don du sang vous attend nombreux de 15h à 20h sur l'esplanade de l'Hôtel de Ville pour une nouvelle collecte de sang et de plaquettes, indispensable pour sauver des vies.",Entrée libre,10 et 11 juillet 2017,"Avenue de la République, 92130 Issy-les-moulineaux"
4640,Sésames Poétiques,Poésie,Entrée libre,"Vendredi 21 juillet 2017, 15h30","Parc de l'Ile-Saint-Germain, 92130 Issy-Les-Moulineaux"
4641,Mon Premier Opéra,Spectacle : par la Cie Lyricoeur,"Entrée libre, sur réservation, tél 01 41 23 82 82","Samedi 16 septembre 2017, 15h30","60 rue Général Leclerc , 92130 Issy-Les-Moulineaux"
